Animal type,Country,Weight kg,Body Length cm,Gender,Animal code,Latitude,Longitude,Animal name,Observation date,Data compiled by
Unknown,Unknown,0.35,21,Unknown,Unknown,49.0576785,18.849445,Unknown,03-01-2024,James Johnson
Unknown,Unknown,0.35,21,Unknown,Unknown,49.0576785,18.849445,Unknown,03-02-2024,James Johnson
European bison,Poland,930,335,Male,Unknown,52.828845,23.820144,Szefu,01-03-2024,Anne Anthony
European bison,Poland,909,311,Unknown,Unknown,52.830509,23.826849,Unknown,01-03-2024,Anne Anthony
European bison,Poland,581,277,Female,Unknown,52.834109,23.807093,Unknown,01-03-2024,Anne Anthony
European bison,Poland,900,295,Male,Unknown,52.834759,23.817201,Unknown,01-03-2024,Anne Anthony
European bison,Poland,620,250,Female,Unknown,52.83496,23.82075,Unknown,01-03-2024,Anne Anthony
lynx,Hungary,24,76,Male,Unknown,48.505494,20.551966,Unknown,01-03-2024,Anne Anthony
lynx,Hungary,23,82,Female,Unknown,48.506529,20.554548,Unknown,01-03-2024,Anne Anthony
red squirrel,Poland,0.308,22,Female,Unknown,52.241273,21.055745,Basia,01-03-2024,Anne Anthony
red squirrel,Poland,0.348,20,Female,Unknown,52.24206,21.057802,Unknown,01-03-2024,Anne Anthony
red squirrel,Poland,0.316,20,Male,Unknown,52.240035,21.056188,Lolek,01-03-2024,Anne Anthony
red squirrel,Poland,0.34,21,Unknown,Unknown,52.240284,21.051948,Unknown,01-03-2024,Anne Anthony
red squirrel,Poland,0.333,21,Male,Unknown,49.0576785,18.849445,Unknown,01-03-2024,Anne Anthony
red squirrel,Poland,0.265,19,Female,Unknown,52.24056,21.055899,Unknown,01-03-2024,Anne Anthony
red squirrel,Poland,0.35,21,Male,Unknown,52.241177,21.052873,Unknown,01-03-2024,Anne Anthony
red squirrel,Poland,0.261,22,Female,Unknown,52.240833,21.052093,Unknown,01-03-2024,Anne Anthony
red squirrel,Poland,0.317,23,Male,Unknown,52.241358,21.056352,Unknown,01-03-2024,Anne Anthony
red squirrel,Poland,0.328,21,Male,Unknown,52.241905,21.050727,Unknown,01-03-2024,Anne Anthony
red squirrel,Hungary,0.305,21,Male,Unknown,47.511401,18.949119,Unknown,01-03-2024,Anne Anthony
red squirrel,Poland,0.328,23,Male,Unknown,52.24192,21.056347,Unknown,01-03-2024,Anne Anthony
red squirrel,Germany,0.294,19,Male,Unknown,49.0576785,18.849445,Unknown,01-03-2024,Bob Bobson
red squirrel,Germany,0.25,19,Female,Unknown,49.0576785,18.849445,Unknown,01-03-2024,Bob Bobson
red squirrel,Germany,0.262,21,Male,Unknown,49.0576785,18.849445,Unknown,01-03-2024,Bob Bobson
red squirrel,Germany,0.267,21,Female,Unknown,49.0576785,18.849445,Unknown,01-03-2024,Bob Bobson
red squirrel,Germany,0.269,22,Male,Unknown,49.0576785,18.849445,Unknown,01-03-2024,Bob Bobson
red squirrel,Germany,0.308,22,Female,Unknown,49.0576785,18.849445,Unknown,01-03-2024,Bob Bobson
red squirrel,Germany,0.308,19,Male,Unknown,49.0576785,18.849445,Unknown,01-03-2024,Bob Bobson
red squirrel,Germany,0.27,20,Male,Unknown,49.0576785,18.849445,Unknown,01-03-2024,Bob Bobson
red squirrel,Germany,0.32,20,Male,Unknown,49.0576785,18.849445,Unknown,01-03-2024,Bob Bobson
red squirrel,Germany,0.262,20,Male,Unknown,49.0576785,18.849445,Unknown,01-03-2024,Bob Bobson
red squirrel,Germany,0.256,21,Male,Unknown,49.0576785,18.849445,Unknown,01-03-2024,Bob Bobson
red squirrel,Germany,0.245,22,Male,Unknown,49.0576785,18.849445,Unknown,01-03-2024,Bob Bobson
red squirrel,Germany,0.292,19,Male,Unknown,49.0576785,18.849445,Unknown,01-03-2024,Bob Bobson
red squirrel,Germany,0.289,19,Female,Unknown,49.0576785,18.849445,Unknown,01-03-2024,Bob Bobson
red squirrel,Germany,0.308,22,Male,Unknown,49.0576785,18.849445,Unknown,01-03-2024,Bob Bobson
European bison,Slovakia,420,182,Male,Unknown,49.054684,22.417189,Unknown,01-03-2024,John Johnson
European bison,Slovakia,511,266,Female,Unknown,49.053629,22.421831,Unknown,01-03-2024,John Johnson
European bison,Slovakia,814,288,Male,Unknown,49.053489,22.415229,Unknown,01-03-2024,John Johnson
European bison,Slovakia,130,141,Female,Unknown,49.054166,22.422852,Unknown,01-03-2024,John Johnson
European bison,Slovakia,390,180,Female,Unknown,49.052731,22.422675,Unknown,01-03-2024,John Johnson
European bison,Slovakia,355,179,Male,Unknown,49.055974,22.415985,Unknown,01-03-2024,John Johnson
European bison,Slovakia,566,272,Female,Unknown,49.053342,22.423867,Unknown,01-03-2024,John Johnson
European bison,Slovakia,393,152,Unknown,Unknown,49.056471,22.422475,Unknown,01-03-2024,John Johnson
European bison,Czech Republic,823,286,Male,Unknown,50.636564,14.834553,Unknown,01-03-2024,John Johnson
European bison,Slovakia,695,316,Male,Unknown,49.055537,22.419428,Unknown,01-03-2024,John Johnson
hedgehog,Czech Republic,0.6,20,Female,Unknown,50.636869,14.844555,Unknown,01-03-2024,John Johnson
hedgehog,Czech Republic,0.6,21,Male,Unknown,50.644733,14.835753,Unknown,01-03-2024,John Johnson
hedgehog,Czech Republic,1.2,31,Male,Unknown,50.635766,14.844247,Unknown,01-03-2024,John Johnson
red squirrel,Slovakia,0.275,23,Male,Unknown,48.185353,17.08322,Unknown,01-03-2024,John Johnson
hedgehog,Czech Republic,0.9,22,Male,Unknown,50.642843,14.84124,Unknown,01-03-2024,John Johnson
lynx,Hungary,23,78,Female,Unknown,48.504128,20.568479,Unknown,02-03-2024,Anne Anthony
lynx,Poland,29,94,Male,Unknown,52.809851,23.858071,Unknown,02-03-2024,Anne Anthony
red squirrel,Germany,0.244,22,Female,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.299,21,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.284,20,Female,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.289,20,Female,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.284,21,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.314,22,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.262,19,Female,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.258,20,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.297,21,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.255,22,Female,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.28,22,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.293,22,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.295,20,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.28,20,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.281,20,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.245,21,Female,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.283,21,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.27,19,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.315,22,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.254,17,Female,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.249,19,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.298,21,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.314,19,Female,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.251,19,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.293,20,Female,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.301,20,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.271,17,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.275,20,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.304,21,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.308,20,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
red squirrel,Germany,0.24,21,Male,Unknown,49.0576785,18.849445,Unknown,02-03-2024,Bob Bobson
European bison,Czech Republic,402,162,Female,Unknown,50.641008,14.836529,Unknown,02-03-2024,John Johnson
European bison,Czech Republic,535,295,Male,Unknown,50.643406,14.836495,Unknown,02-03-2024,John Johnson
European bison,Czech Republic,572,251,Female,Unknown,50.638945,14.845452,Unknown,02-03-2024,John Johnson
hedgehog,Czech Republic,0.9,20,Female,Unknown,50.639869,14.849702,Unknown,02-03-2024,John Johnson
hedgehog,Czech Republic,0.7,16,Female,Unknown,50.643039,14.840662,Unknown,02-03-2024,John Johnson
hedgehog,Czech Republic,0.7,14,Female,Unknown,50.637879,14.838429,Unknown,02-03-2024,John Johnson
hedgehog,Czech Republic,1.1,32,Male,Unknown,50.643254,14.84373,Unknown,02-03-2024,John Johnson
hedgehog,Czech Republic,0.5,20,Male,Unknown,50.643854,14.837155,Unknown,02-03-2024,John Johnson
hedgehog,Czech Republic,1.1,22,Female,Unknown,50.635584,14.837072,Unknown,02-03-2024,John Johnson
hedgehog,Czech Republic,1,20,Female,Unknown,50.642723,14.837229,Unknown,02-03-2024,John Johnson
hedgehog,Czech Republic,0.7,13,Female,Unknown,50.639389,14.8444,Unknown,02-03-2024,John Johnson
lynx,Slovakia,30,120,Male,Unknown,48.409308,18.832606,Unknown,02-03-2024,John Johnson
red squirrel,Hungary,0.262,20,Female,Unknown,47.510799,18.945583,Unknown,03-03-2024,Anne Anthony
Unknown,Unknown,0.35,21,Unknown,Unknown,49.0576785,18.849445,Unknown,03-03-2024,James Johnson
hedgehog,Czech Republic,0.6,20,Male,Unknown,50.637375,14.839785,Unknown,03-03-2024,John Johnson
lynx,Slovakia,28,131,Male,Unknown,48.406304,18.842851,Unknown,03-03-2024,John Johnson
red squirrel,Slovakia,0.281,18,Male,Unknown,48.18769,17.086471,Unknown,03-03-2024,John Johnson
European bison,Poland,650,285,Female,Unknown,52.834741,23.826716,Unknown,04-03-2024,Anne Anthony
hedgehog,Hungary,1.1,24,Male,Unknown,48.503795,20.555932,Unknown,04-03-2024,Anne Anthony
hedgehog,Hungary,1.1,26,Unknown,Unknown,48.503062,20.551698,Unknown,04-03-2024,Anne Anthony
hedgehog,Hungary,0.8,18,Female,Unknown,48.503498,20.539662,Unknown,04-03-2024,Anne Anthony
hedgehog,Hungary,1.2,26,Male,Unknown,48.509298,20.551977,Unknown,04-03-2024,Anne Anthony
hedgehog,Poland,0.9,22,Male,Unknown,52.214679,21.033021,Unknown,04-03-2024,Anne Anthony
lynx,Hungary,25,89,Male,Unknown,48.504169,20.559452,Unknown,04-03-2024,Anne Anthony
red squirrel,Hungary,0.283,18,Female,Unknown,48.505251,20.551473,Unknown,04-03-2024,Anne Anthony
red squirrel,Hungary,0.307,21,Male,Unknown,49.0576785,18.849445,Unknown,04-03-2024,Anne Anthony
red squirrel,Hungary,0.296,22,Male,Unknown,48.502584,20.532518,Unknown,04-03-2024,Anne Anthony
red squirrel,Hungary,0.301,18,Female,Unknown,48.505512,20.538038,Unknown,04-03-2024,Anne Anthony
red squirrel,Hungary,0.295,17,Male,Unknown,48.50578,20.546466,Unknown,04-03-2024,Anne Anthony
red squirrel,Hungary,0.32,18,Male,Unknown,48.502091,20.547521,Unknown,04-03-2024,Anne Anthony
red squirrel,Hungary,0.28,19,Female,Unknown,48.505494,20.536362,Unknown,04-03-2024,Anne Anthony
red squirrel,Poland,0.33,24,Male,Unknown,52.241203,21.050999,Unknown,04-03-2024,Anne Anthony
red squirrel,Poland,0.3,22,Female,Unknown,52.240018,21.05239,Lola,04-03-2024,Anne Anthony
red squirrel,Poland,0.283,17,Female,Unknown,52.239931,21.056703,Unknown,04-03-2024,Anne Anthony
red squirrel,Poland,0.341,21,Male,Unknown,52.241856,21.053078,Unknown,04-03-2024,Anne Anthony
red squirrel,Poland,0.35,24,Male,Unknown,52.240453,21.055847,Unknown,04-03-2024,Anne Anthony
red squirrel,Poland,0.291,21,Unknown,Unknown,52.241662,21.05643,Unknown,04-03-2024,Anne Anthony
red squirrel,Poland,0.329,22,Female,Unknown,52.241638,21.055998,Lola,04-03-2024,Anne Anthony
red squirrel,Hungary,0.327,18,Female,Unknown,48.502803,20.548668,Unknown,04-03-2024,Anne Anthony
red squirrel,Poland,0.35,24,Male,Unknown,52.240497,21.055991,Unknown,04-03-2024,Anne Anthony
hedgehog,Czech Republic,0.6,17,Male,Unknown,50.635501,14.838158,Unknown,04-03-2024,John Johnson
hedgehog,Czech Republic,0.9,22,Female,Unknown,50.638142,14.849689,Unknown,04-03-2024,John Johnson
red squirrel,Czech Republic,0.289,21,Female,Unknown,49.937872,14.179825,Unknown,04-03-2024,John Johnson
red squirrel,Slovakia,0.297,20,Female,Unknown,48.185194,17.083142,Unknown,04-03-2024,John Johnson
lynx,Hungary,24,79,Male,Unknown,48.503043,20.561567,Unknown,05-03-2024,Anne Anthony
red squirrel,Poland,0.301,23,Female,Unknown,52.240867,21.054339,Unknown,05-03-2024,Anne Anthony
red squirrel,Poland,0.344,20,Male,Unknown,52.240522,21.057552,Unknown,05-03-2024,Anne Anthony
red squirrel,Hungary,0.253,21,Male,Unknown,47.507002,18.950091,Unknown,05-03-2024,Anne Anthony
red squirrel,Hungary,0.293,18,Female,Unknown,47.507557,18.942066,Unknown,05-03-2024,Anne Anthony
Unknown,Austria,0.263,22,Male,Unknown,49.0576785,18.849445,Unknown,05-03-2024,Bob Bobson
hedgehog,Czech Republic,0.9,19,Female,Unknown,50.107284,14.346127,Unknown,05-03-2024,John Johnson
lynx,Slovakia,23,97,Female,Unknown,48.413226,18.848128,Unknown,05-03-2024,John Johnson
red squirrel,Slovakia,0.333,23,Male,Unknown,48.409023,18.84399,Unknown,05-03-2024,John Johnson
red squirrel,Slovakia,0.32,17,Male,Unknown,48.406733,18.838754,Unknown,05-03-2024,John Johnson
red squirrel,Slovakia,0.266,18,Female,Unknown,48.40459,18.846849,Unknown,05-03-2024,John Johnson
red squirrel,Slovakia,0.306,22,Male,Unknown,48.408318,18.844383,Unknown,05-03-2024,John Johnson
red squirrel,Slovakia,0.311,22,Male,Unknown,48.412458,18.832425,Unknown,05-03-2024,John Johnson
red squirrel,Slovakia,0.291,22,Female,Unknown,48.406551,18.837137,Unknown,05-03-2024,John Johnson
